,final_price,list_price,bedrooms,bathrooms,sqft,parking,type,full_address,lat,long
84,765000.0,779900.0,5.51,3.0,,2.0,3,"66 Lexington Ave, Toronto ",43.74494111483415,-79.60207863195356
85,880000.0,910000.0,3.53,3.0,,1.0,3,"32 Hertford Ave, Toronto ",43.68865708,-79.4783473
86,3200000.0,3250000.0,4.52,5.0,5000.0,6.0,3,"10 Orrell Ave, Toronto ",43.656488644291954,-79.53051227365675
87,2075000.0,2198000.0,4.0,4.0,,4.0,3,"9 Farningham Cres, Toronto ",43.67031853713654,-79.54967953924675
88,2200000.0,2299999.0,4.51,5.0,3000.0,4.0,3,"7 Cardigan Rd, Toronto ",43.6371715,-79.51947081674959
89,815500.0,749900.0,3.51,3.0,,3.0,3,"69 Tedford Dr, Toronto ",43.73979341666666,-79.29826183333334
90,1070000.0,1100000.0,4.52,4.0,,4.0,3,"236 Ingleton Blvd, Toronto ",43.8258225,-79.2667794
91,765000.0,779900.0,5.51,3.0,,2.0,3,"66 Lexington Ave, Toronto ",43.74494111483415,-79.60207863195356
92,1005605.0,900000.0,3.0,3.0,,2.0,3,"20 Kilkenny Dr, Toronto ",43.78480220000001,-79.3186623
93,1310000.0,1399900.0,5.0,2.0,3000.0,5.0,3,"68 Royalavon Cres, Toronto ",43.64669341818182,-79.53453151818181
94,910000.0,779000.0,2.51,2.0,,0.0,3,"245 Springdale Blvd, Toronto ",43.68821397241377,-79.32052165862069
95,3200000.0,3250000.0,4.52,5.0,5000.0,6.0,3,"10 Orrell Ave, Toronto ",43.656488644291954,-79.53051227365675
96,875000.0,799900.0,3.0,1.0,,1.0,2,"4 Murdock Ave, Toronto ",43.682853176923075,-79.31727973076923
97,950000.0,799000.0,2.0,2.0,,0.0,2,"6 Roseheath Ave, Toronto ",43.68116697272728,-79.31703128181819
98,795000.0,688800.0,3.52,2.0,,3.0,3,"1233 Pharmacy Ave, Toronto ",43.74854900588234,-79.30657401764707
99,2200000.0,2299999.0,4.51,5.0,3000.0,4.0,3,"7 Cardigan Rd, Toronto ",43.6371715,-79.51947081674959
100,815500.0,749900.0,3.51,3.0,,3.0,3,"69 Tedford Dr, Toronto ",43.73979341666666,-79.29826183333334
101,985000.0,799000.0,3.51,3.0,,1.0,2,"99 Glebemount Ave, Toronto ",43.68760548181818,-79.31864707272727
102,1005605.0,900000.0,3.0,3.0,,2.0,3,"20 Kilkenny Dr, Toronto ",43.78480220000001,-79.3186623
103,1912000.0,1999900.0,4.53,6.0,3500.0,6.0,3,"32 Purdon Dr, Toronto ",43.76607007127839,-79.46301760606184
104,765000.0,779900.0,5.51,3.0,,2.0,3,"66 Lexington Ave, Toronto ",43.74494111483415,-79.60207863195356
105,910000.0,779000.0,2.51,2.0,,0.0,3,"245 Springdale Blvd, Toronto ",43.68821397241377,-79.32052165862069
106,1070000.0,1100000.0,4.52,4.0,,4.0,3,"236 Ingleton Blvd, Toronto ",43.8258225,-79.2667794
107,2200000.0,2299999.0,4.51,5.0,3000.0,4.0,3,"7 Cardigan Rd, Toronto ",43.6371715,-79.51947081674959
108,1310000.0,1399900.0,5.0,2.0,3000.0,5.0,3,"68 Royalavon Cres, Toronto ",43.64669341818182,-79.53453151818181
109,815500.0,749900.0,3.51,3.0,,3.0,3,"69 Tedford Dr, Toronto ",43.73979341666666,-79.29826183333334
110,651100.0,599000.0,3.53,2.0,,3.0,3,"55 Dowswell Dr, Toronto ",43.79507288115376,-79.22081416912731
111,795000.0,688800.0,3.52,2.0,,3.0,3,"1233 Pharmacy Ave, Toronto ",43.74854900588234,-79.30657401764707
112,1070000.0,1100000.0,4.52,4.0,,4.0,3,"236 Ingleton Blvd, Toronto ",43.8258225,-79.2667794
113,2075000.0,2198000.0,4.0,4.0,,4.0,3,"9 Farningham Cres, Toronto ",43.67031853713654,-79.54967953924675
114,1005605.0,900000.0,3.0,3.0,,2.0,3,"20 Kilkenny Dr, Toronto ",43.78480220000001,-79.3186623
115,950000.0,799000.0,2.0,2.0,,0.0,2,"6 Roseheath Ave, Toronto ",43.68116697272728,-79.31703128181819
116,765000.0,779900.0,5.51,3.0,,2.0,3,"66 Lexington Ave, Toronto ",43.74494111483415,-79.60207863195356
117,950000.0,899000.0,3.51,4.0,,1.0,3,"6 Cambrai Ave, Toronto ",43.69597756,-79.30851788
118,1912000.0,1999900.0,4.53,6.0,3500.0,6.0,3,"32 Purdon Dr, Toronto ",43.76607007127839,-79.46301760606184
119,1352875.0,1388800.0,3.51,2.0,,6.0,3,"14 Yewfield Cres, Toronto ",43.74910840331411,-79.34581931043422
120,1725750.0,1995000.0,3.51,4.0,,4.0,3,"26 Aldenham Cres, Toronto ",43.75020307668276,-79.32938182695875
121,710000.0,699900.0,3.52,2.0,,5.0,3,"38 Loradeen Cres, Toronto ",43.81440537841999,-79.23371999553648
122,1901000.0,1750000.0,4.51,3.0,,3.0,3,"11 Fernwood Rd, Toronto ",43.70430345,-79.43595135000002
123,1807500.0,1849000.0,3.51,5.0,,1.0,1," 217 Roslin Ave, Toronto ",43.73144075625,-79.3928594875
124,705000.0,724900.0,3.51,2.0,3000.0,3.0,3,"29 Kilpatrick Dr, Toronto ",43.73850895706715,-79.29051817154799
125,978000.0,998888.0,3.51,4.0,,2.0,3,"92 Ambercroft Blvd, Toronto ",43.81361879999999,-79.3144855
126,790000.0,849500.0,3.52,2.0,,6.0,3,"7 Bucksburn Rd, Toronto ",43.74857673574039,-79.60031785258984
127,762000.0,745000.0,3.53,2.0,,4.0,3,"10 Bow Valley Dr, Toronto ",43.7720473,-79.2055573
128,820000.0,749900.0,3.0,1.0,,2.0,3,"31 Tilden Cres, Toronto ",43.69458658734723,-79.51701057229761
129,1901000.0,1750000.0,4.51,3.0,,3.0,3,"11 Fernwood Rd, Toronto ",43.70430345,-79.43595135000002
130,1360000.0,1079000.0,3.51,3.0,,1.0,2,"15 Glenmount Park Rd, Toronto ",43.67821420666667,-79.30403433333333
131,996000.0,849000.0,3.0,2.0,1500.0,1.0,2,"693 Milverton Blvd, Toronto ",43.68854006666667,-79.31511156666666
132,1019000.0,998000.0,4.51,3.0,,2.0,2,"60 Sellers Ave, Toronto ",43.68259331707317,-79.44614338292682
133,1210000.0,1249000.0,3.51,2.0,2000.0,2.0,3,"48 Silverview Dr, Toronto ",43.787082,-79.4132252
